iter	Passed	Remaining
911	1988	191
912	1989	189
913	1990	187
914	1992	185
915	1995	183
916	1997	180
917	1998	178
918	1999	176
919	2000	173
920	2002	171
921	2003	169
922	2004	167
923	2005	164
924	2006	162
925	2008	160
926	2010	158
927	2011	156
928	2013	153
929	2014	151
930	2015	149
931	2017	147
932	2018	144
933	2019	142
934	2020	140
935	2021	138
936	2025	136
937	2026	133
938	2028	131
939	2029	129
940	2031	127
941	2032	125
942	2033	122
943	2034	120
944	2036	118
945	2038	116
946	2040	114
947	2042	112
948	2044	109
949	2045	107
950	2046	105
951	2048	103
952	2049	101
953	2050	98
954	2051	96
955	2054	94
956	2055	92
957	2056	90
958	2058	87
959	2059	85
960	2060	83
961	2061	81
962	2062	79
963	2064	77
964	2065	74
965	2066	72
966	2069	70
967	2070	68
968	2072	66
969	2073	64
970	2074	61
971	2076	59
972	2077	57
973	2078	55
974	2079	53
975	2080	51
976	2083	49
977	2085	46
978	2086	44
979	2088	42
980	2089	40
981	2090	38
982	2091	36
983	2092	34
984	2094	31
985	2095	29
986	2096	27
987	2098	25
988	2100	23
989	2101	21
990	2102	19
991	2103	16
992	2105	14
993	2106	12
994	2107	10
995	2108	8
996	2109	6
997	2112	4
998	2114	2
999	2115	0
